	MX y nm - OP		MX ynm - IP		MX y+0.2 nm - OP		MX y+0.2nm - IP		MX y+0.4nm - OP		MX y+0.4nm - IP		MX y+0.6 nm - OP		MX y+0.6nm - IP
6557.912	1039.348125	8119.113	2356.528438	6557.437	397.7513542	8119.484	624.4575	6557.487	161.9784375	8119.778	485.5122656	6557.08	535.2072917	8119.465	640.5005208
6532.949	1079.799063	8069.727	2295.825625	6532.466	405.1427083	8069.456	667.2344792	6532.274	171.6401563	8068.768	489.6147656	6532.293	537.7583333	8069.518	659.3947917
6507.704	1131.269063	8019.123	2339.710938	6507.698	408.610625	8018.706	662.9461458	6507.219	178.1316406	8018.519	437.6107031	6507.238	544.1020833	8018.962	638.7645833
6482.606	1201.0225	7969.476	2370.925938	6482.429	464.8703125	7968.246	678.7838542	6482.3	194.0630469	7968.532	412.6264844	6482.376	535.1598958	7968.518	626.0901042
6457.652	1222.135	7918.991	2471.323438	6457.846	419.3597917	7918.734	668.3061458	6457.497	202.6828125	7918.608	466.9728125	6457.441	526.4145833	7918.324	619.3510417
6432.903	1226.383125	7869.448	2412.954688	6432.698	408.1809375	7868.595	686.0097917	6432.524	176.2010938	7868.379	468.27125	6432.432	526.7072917	7868.35	636.9583333
6407.421	1176.594688	7819.057	2375.216875	6407.762	397.6528125	7819.095	629.0105208	6407.136	160.9307031	7818.532	466.4551563	6407.339	527.3453125	7818.645	633.1130208
6382.458	1074.40625	7769.189	2320.278438	6382.476	391.3080208	7768.873	678.5326042	6382.182	161.4122656	7768.74	444.8530469	6382.136	524.8010417	7768.409	627.3864583
6357.699	1062.504688	7718.893	2284.56375	6357.691	375.7133333	7718.234	674.9366667	6357.33	158.0213281	7718.407	426.6835156	6357.247	529.0244792	7718.573	631.2588542
6332.652	1077.130313	7668.837	2373.98375	6332.466	399.890625	7668.289	661.5952083	6332.182	156.9732813	7668.051	458.6558594	6332.173	531.0213542	7668.073	639.7776042
